               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041478,            0.017283,            0.073311,            0.021372,             0.98177,             0.05513,            0.035018,           0.0088892,           0.0025095,            0.027236,            0.070061,           0.0033265,           0.0033265
                   1,            0.025864,            0.010381,             0.06132,             0.55133,               0.376,             0.22168,             0.14119,           0.0099157,           0.0021695,            0.019127,            0.039841,           0.0064401,           0.0064401
                   2,            0.025595,           0.0095884,            0.053768,              0.6314,             0.36435,             0.33055,             0.23821,           0.0070411,           0.0025511,            0.015693,           0.0094015,           0.0093337,           0.0093337
                   3,            0.022423,           0.0091504,            0.046068,             0.61254,             0.54123,             0.57387,             0.46838,           0.0047855,           0.0018996,           0.0098415,             0.00901,             0.00901,             0.00901
                   4,            0.019695,           0.0086019,              0.0395,             0.72026,             0.75207,             0.78393,             0.66074,           0.0049929,           0.0018225,           0.0060388,             0.00901,             0.00901,             0.00901
                   5,            0.019716,           0.0083345,            0.037212,             0.82939,             0.83681,             0.84751,             0.69994,           0.0051769,           0.0019149,           0.0039703,             0.00868,             0.00868,             0.00868
                   6,            0.019192,           0.0082294,             0.03595,             0.83054,             0.89641,             0.90467,             0.78336,           0.0041263,           0.0019167,           0.0028537,             0.00835,             0.00835,             0.00835
                   7,            0.017695,           0.0080217,            0.033822,             0.86099,             0.92284,             0.90728,             0.79063,           0.0041044,           0.0018747,           0.0022542,             0.00802,             0.00802,             0.00802
                   8,            0.017566,           0.0079026,            0.034199,             0.87814,              0.9242,              0.9119,             0.80088,           0.0038538,           0.0017417,           0.0023105,             0.00769,             0.00769,             0.00769
                   9,            0.016643,           0.0077837,            0.031175,             0.89102,             0.90929,             0.92969,             0.77998,           0.0050692,           0.0017893,            0.002292,             0.00736,             0.00736,             0.00736
                  10,            0.016562,           0.0076723,            0.030758,             0.86656,             0.94189,             0.92269,              0.8207,            0.003553,           0.0017176,           0.0018848,             0.00703,             0.00703,             0.00703
                  11,            0.016342,           0.0075407,            0.031096,             0.89459,              0.9653,             0.93302,             0.84561,           0.0031489,           0.0017179,            0.001501,              0.0067,              0.0067,              0.0067
                  12,            0.016244,           0.0075665,            0.031222,             0.88236,             0.97305,              0.9327,             0.84039,           0.0031845,           0.0017635,           0.0012496,             0.00637,             0.00637,             0.00637
                  13,            0.015662,           0.0073704,            0.029077,             0.90198,             0.97848,             0.94248,             0.86098,            0.003004,           0.0016936,           0.0011509,             0.00604,             0.00604,             0.00604
                  14,              0.0153,           0.0072993,            0.029151,             0.91095,             0.97645,             0.94486,             0.85963,           0.0029839,           0.0016671,           0.0010607,             0.00571,             0.00571,             0.00571
                  15,            0.015287,           0.0072653,            0.028957,             0.92186,             0.97553,             0.95459,             0.87482,           0.0028657,           0.0016944,          0.00089361,             0.00538,             0.00538,             0.00538
                  16,            0.014924,           0.0071897,            0.028378,             0.92159,             0.98604,             0.95232,             0.86077,           0.0032108,           0.0017132,          0.00085285,             0.00505,             0.00505,             0.00505
                  17,             0.01419,           0.0070676,            0.027189,             0.92546,             0.98519,             0.95754,             0.88286,           0.0027914,           0.0016751,          0.00080516,             0.00472,             0.00472,             0.00472
                  18,            0.014491,           0.0070343,            0.027472,             0.92715,             0.98826,             0.96068,             0.88915,           0.0026952,           0.0016976,           0.0007546,             0.00439,             0.00439,             0.00439
                  19,            0.013799,           0.0069431,            0.026272,             0.92263,             0.99035,             0.95773,             0.88095,           0.0027977,           0.0016672,          0.00077855,             0.00406,             0.00406,             0.00406
                  20,            0.013709,           0.0068435,            0.026813,             0.93364,             0.98985,             0.96221,              0.8895,           0.0027515,           0.0016463,          0.00065146,             0.00373,             0.00373,             0.00373
                  21,            0.013137,             0.00681,            0.025483,             0.93486,             0.98831,             0.96367,              0.8947,           0.0026945,           0.0016498,          0.00063592,              0.0034,              0.0034,              0.0034
                  22,            0.012968,           0.0067788,            0.025156,             0.93623,             0.98772,             0.96633,              0.8974,           0.0026999,           0.0016556,           0.0006181,             0.00307,             0.00307,             0.00307
                  23,            0.012414,           0.0066525,            0.024512,             0.93651,             0.99247,             0.96678,             0.90247,           0.0025802,            0.001645,          0.00059478,             0.00274,             0.00274,             0.00274
                  24,             0.01228,           0.0066089,            0.024425,             0.93938,             0.99448,             0.96738,             0.90276,           0.0026185,           0.0016441,          0.00057871,             0.00241,             0.00241,             0.00241
                  25,            0.011772,           0.0065227,            0.023633,             0.94173,             0.99243,             0.96742,             0.90551,           0.0025718,           0.0016364,          0.00054526,             0.00208,             0.00208,             0.00208
                  26,            0.011475,           0.0064559,            0.022922,             0.94225,             0.99341,             0.96791,             0.90502,           0.0025771,           0.0016368,          0.00051985,             0.00175,             0.00175,             0.00175
                  27,             0.01096,            0.006368,             0.02275,              0.9452,             0.98994,             0.96908,              0.9088,           0.0025393,           0.0016308,          0.00050343,             0.00142,             0.00142,             0.00142
                  28,            0.010486,            0.006261,            0.022237,             0.94771,             0.98815,             0.96996,             0.91115,           0.0025312,           0.0016285,          0.00049641,             0.00109,             0.00109,             0.00109
                  29,            0.010278,           0.0061676,            0.022164,             0.94904,             0.98576,             0.97036,             0.91157,           0.0025374,           0.0016282,          0.00048798,             0.00076,             0.00076,             0.00076
